"filename", "language", "JavaScript", "HTML", "Markdown", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\julia\Desktop\Project_Playground\Assistant\Test Voice.html", "HTML", 0, 144, 0, 0, 0, 0, 30, 174
"c:\Users\julia\Desktop\Project_Playground\Assistant\commands.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\julia\Desktop\Project_Playground\CSSFiles\CloseButton.css", "PostCSS", 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\julia\Desktop\Project_Playground\CSSFiles\DarkModeSwitch.css", "PostCSS", 0, 0, 0, 60, 0, 0, 2, 62
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\CSS\CSS.html", "HTML", 0, 74, 0, 0, 0, 1, 10, 85
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\CSS\Database CSS.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\Button.html", "HTML", 0, 121, 0, 0, 0, 1, 19, 141
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\DB Button.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\DB IMG.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\DB Input.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\DB Text.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\IMG.html", "HTML", 0, 121, 0, 0, 0, 1, 20, 142
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\Input.html", "HTML", 0, 121, 0, 0, 0, 1, 20, 142
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Attribute\Text.html", "HTML", 0, 121, 0, 0, 0, 1, 19, 141
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Database HTML.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 107
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\HTML.html", "HTML", 0, 141, 0, 0, 0, 1, 27, 169
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\HTML\Style.css", "PostCSS", 0, 0, 0, 64, 0, 0, 12, 76
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\JS\Database JS.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\julia\Desktop\Project_Playground\Cheat Sheets\JS\JS.html", "HTML", 0, 74, 0, 0, 0, 1, 10, 85
"c:\Users\julia\Desktop\Project_Playground\F1\API.js", "JavaScript", 58, 0, 0, 0, 0, 1, 10, 69
"c:\Users\julia\Desktop\Project_Playground\F1\F1.css", "PostCSS", 0, 0, 0, 97, 0, 0, 17, 114
"c:\Users\julia\Desktop\Project_Playground\F1\F1.html", "HTML", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\julia\Desktop\Project_Playground\F1\F1.js", "JavaScript", 110, 0, 0, 0, 0, 3, 17, 130
